DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,AL,2016,101.51,d
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,AL,2017,104.76,d
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,AL,2018,106.59,d
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,AL,2019,108.39,d
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,AL,2020,110.74,d
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,AL,2021,113.26,d
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,AL,2022,120.69,d
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,AT,2013,97.77,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,AT,2014,99.20,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,AT,2015,100.00,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,AT,2016,100.97,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,AT,2017,103.22,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,AT,2018,105.41,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,AT,2019,106.98,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,AT,2020,108.47,
