DATAFLOW,LAST UPDATE,freq,unit,lcstruct,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LC_LCI_LEV$DEFAULTVIEW(1.0),30/03/23 11:00:00,A,EUR,D1_D4_MD5,B-S_X_O,AL,2012,2.2,
ESTAT:LC_LCI_LEV$DEFAULTVIEW(1.0),30/03/23 11:00:00,A,EUR,D1_D4_MD5,B-S_X_O,AL,2016,2.6,
ESTAT:LC_LCI_LEV$DEFAULTVIEW(1.0),30/03/23 11:00:00,A,EUR,D1_D4_MD5,B-S_X_O,AT,2008,26.4,
ESTAT:LC_LCI_LEV$DEFAULTVIEW(1.0),30/03/23 11:00:00,A,EUR,D1_D4_MD5,B-S_X_O,AT,2012,29.7,
ESTAT:LC_LCI_LEV$DEFAULTVIEW(1.0),30/03/23 11:00:00,A,EUR,D1_D4_MD5,B-S_X_O,AT,2016,32.5,
ESTAT:LC_LCI_LEV$DEFAULTVIEW(1.0),30/03/23 11:00:00,A,EUR,D1_D4_MD5,B-S_X_O,AT,2020,36.4,
ESTAT:LC_LCI_LEV$DEFAULTVIEW(1.0),30/03/23 11:00:00,A,EUR,D1_D4_MD5,B-S_X_O,AT,2021,37.0,p
ESTAT:LC_LCI_LEV$DEFAULTVIEW(1.0),30/03/23 11:00:00,A,EUR,D1_D4_MD5,B-S_X_O,AT,2022,39.0,p
ESTAT:LC_LCI_LEV$DEFAULTVIEW(1.0),30/03/23 11:00:00,A,EUR,D1_D4_MD5,B-S_X_O,BA,2012,5.3,
ESTAT:LC_LCI_LEV$DEFAULTVIEW(1.0),30/03/23 11:00:00,A,EUR,D1_D4_MD5,B-S_X_O,BA,2016,5.2,
ESTAT:LC_LCI_LEV$DEFAULTVIEW(1.0),30/03/23 11:00:00,A,EUR,D1_D4_MD5,B-S_X_O,BE,2008,32.9,
ESTAT:LC_LCI_LEV$DEFAULTVIEW(1.0),30/03/23 11:00:00,A,EUR,D1_D4_MD5,B-S_X_O,BE,2012,38.0,
ESTAT:LC_LCI_LEV$DEFAULTVIEW(1.0),30/03/23 11:00:00,A,EUR,D1_D4_MD5,B-S_X_O,BE,2016,38.6,
ESTAT:LC_LCI_LEV$DEFAULTVIEW(1.0),30/03/23 11:00:00,A,EUR,D1_D4_MD5,B-S_X_O,BE,2020,40.5,
ESTAT:LC_LCI_LEV$DEFAULTVIEW(1.0),30/03/23 11:00:00,A,EUR,D1_D4_MD5,B-S_X_O,BE,2021,41,
