Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1999-12-31,14.5689,17.2569,14.0412,17.1281,72041899.784092
2000-12-31,17.4554,18.6339,10.0688,14.7578,309385238.78293
2001-12-31,14.6281,14.9563,9.67858,12.4639,262386819.50906
2002-12-31,12.3342,15.2235,10.0412,11.6118,291295772.51829
2003-12-31,11.7139,17.714,10.6958,16.4048,314860583.37402
2004-12-31,16.4659,26.2399,16.4048,24.8009,315602095.38937
2005-12-31,24.8677,47.7154,22.1101,42.8012,413450912.58579
2006-12-31,42.5283,47.9205,29.8296,32.5606,466922646.02848
2007-12-31,32.7657,41.7773,27.7895,35.428,447873977.2341
2008-12-31,35.3603,36.3154,15.0193,18.4039,502536707.49826
2009-12-31,18.9526,24.675,13.088,24.2818,560899569.72399
2010-12-31,24.6034,35.4395,22.0996,32.7572,422084657.57992
2011-12-31,32.9728,42.0913,21.6931,24.2456,450674388.1784
2012-12-31,24.2389,38.4071,22.487,35.4041,399897517.90651
2013-12-31,36.2629,41.054,29.573,30.2972,312371038.21091
2014-12-31,30.7772,38.0215,27.6464,37.4013,263401911.05991
2015-12-31,37.4013,67.2729,36.2019,53.1496,416850254.09055
2016-12-31,51.7021,70.8274,44.2573,68.9361,334700290.89008
2017-12-31,68.7758,111.633,65.2185,88.007,260149664.67992
2018-12-31,88.6692,98.4556,66.584,93.1121,249394088.23092
2019-12-31,93.1121,98.0167,69.3254,76.6681,221948824.98368
2020-12-31,77.2759,77.9725,33.7829,52.4187,423691980.97338
2021-12-31,53.5265,87.0242,50.8567,70.9362,298996163.52394
2022-12-31,71.0888,79.8294,49.05,64.24,423780689.58315
2023-12-31,64.24,67.6,53.38,61.7,151857361
